image_name,base_name,method,gt_path,pred_path,width,height,psnr,ssim,lpips,qalign_score
baboonx4.png,baboon,bicubic,./data/images_restoration/hr/baboon.png,./data/images_restoration/bicubic/baboonx4.png,500,480,20.32462,0.431628,0.631094,1.861328
barbarax4.png,barbara,bicubic,./data/images_restoration/hr/barbara.png,./data/images_restoration/bicubic/barbarax4.png,720,576,23.647604,0.66933,0.458838,2.082031
bridgex4.png,bridge,bicubic,./data/images_restoration/hr/bridge.png,./data/images_restoration/bicubic/bridgex4.png,512,512,23.154486,0.5802,0.612249,1.530273
coastguardx4.png,coastguard,bicubic,./data/images_restoration/hr/coastguard.png,./data/images_restoration/bicubic/coastguardx4.png,352,288,24.036879,0.50324,0.587842,1.492188
comicx4.png,comic,bicubic,./data/images_restoration/hr/comic.png,./data/images_restoration/bicubic/comicx4.png,250,361,19.167197,0.563377,0.501015,1.513672
facex4.png,face,bicubic,./data/images_restoration/hr/face.png,./data/images_restoration/bicubic/facex4.png,276,276,29.009885,0.704344,0.410156,1.322266
flowersx4.png,flowers,bicubic,./data/images_restoration/hr/flowers.png,./data/images_restoration/bicubic/flowersx4.png,500,362,23.025902,0.698372,0.41072,1.77832
foremanx4.png,foreman,bicubic,./data/images_restoration/hr/foreman.png,./data/images_restoration/bicubic/foremanx4.png,352,288,26.233482,0.844715,0.329766,1.6875
lennax4.png,lenna,bicubic,./data/images_restoration/hr/lenna.png,./data/images_restoration/bicubic/lennax4.png,512,512,28.490495,0.759582,0.345617,2.146484
manx4.png,man,bicubic,./data/images_restoration/hr/man.png,./data/images_restoration/bicubic/manx4.png,512,512,24.523743,0.676078,0.507931,1.931641
monarchx4.png,monarch,bicubic,./data/images_restoration/hr/monarch.png,./data/images_restoration/bicubic/monarchx4.png,768,512,26.458098,0.877868,0.294893,3.072266
pepperx4.png,pepper,bicubic,./data/images_restoration/hr/pepper.png,./data/images_restoration/bicubic/pepperx4.png,512,512,27.367483,0.764558,0.3247,2.136719
ppt3x4.png,ppt3,bicubic,./data/images_restoration/hr/ppt3.png,./data/images_restoration/bicubic/ppt3x4.png,529,656,20.229666,0.809223,0.327005,2.757812
zebrax4.png,zebra,bicubic,./data/images_restoration/hr/zebra.png,./data/images_restoration/bicubic/zebrax4.png,586,391,19.790033,0.543518,0.439716,2.023438
baboon.png,baboon,swinir,./data/images_restoration/hr/baboon.png,./data/images_restoration/swinir/baboon.png,500,480,17.253218,0.245209,0.49578,3.210938
barbara.png,barbara,swinir,./data/images_restoration/hr/barbara.png,./data/images_restoration/swinir/barbara.png,720,576,24.844348,0.758322,0.337664,2.974609
bridge.png,bridge,swinir,./data/images_restoration/hr/bridge.png,./data/images_restoration/swinir/bridge.png,512,512,17.238584,0.204255,0.487188,2.480469
coastguard.png,coastguard,swinir,./data/images_restoration/hr/coastguard.png,./data/images_restoration/swinir/coastguard.png,352,288,22.194837,0.50889,0.484725,2.314453
comic.png,comic,swinir,./data/images_restoration/hr/comic.png,./data/images_restoration/swinir/comic.png,250,361,13.595677,0.270394,0.273632,3.615234
face.png,face,swinir,./data/images_restoration/hr/face.png,./data/images_restoration/swinir/face.png,276,276,30.080899,0.752144,0.309595,2.382812
flowers.png,flowers,swinir,./data/images_restoration/hr/flowers.png,./data/images_restoration/swinir/flowers.png,500,362,16.578761,0.442335,0.235041,3.771484
foreman.png,foreman,swinir,./data/images_restoration/hr/foreman.png,./data/images_restoration/swinir/foreman.png,352,288,22.38965,0.773012,0.158058,2.689453
lenna.png,lenna,swinir,./data/images_restoration/hr/lenna.png,./data/images_restoration/swinir/lenna.png,512,512,18.792828,0.485492,0.296537,3.097656
man.png,man,swinir,./data/images_restoration/hr/man.png,./data/images_restoration/swinir/man.png,512,512,17.001003,0.323499,0.37294,2.751953
monarch.png,monarch,swinir,./data/images_restoration/hr/monarch.png,./data/images_restoration/swinir/monarch.png,768,512,17.77099,0.650669,0.17854,4.78125
pepper.png,pepper,swinir,./data/images_restoration/hr/pepper.png,./data/images_restoration/swinir/pepper.png,512,512,18.06539,0.51644,0.289119,3.5625
ppt3.png,ppt3,swinir,./data/images_restoration/hr/ppt3.png,./data/images_restoration/swinir/ppt3.png,529,656,14.901405,0.66815,0.135808,4.257812
zebra.png,zebra,swinir,./data/images_restoration/hr/zebra.png,./data/images_restoration/swinir/zebra.png,586,391,13.209747,0.194233,0.333326,4.054688
baboon.png,baboon,mambairv2,./data/images_restoration/hr/baboon.png,./data/images_restoration/mambairv2/baboon.png,500,480,21.077494,0.530208,0.453044,3.294922
barbara.png,barbara,mambairv2,./data/images_restoration/hr/barbara.png,./data/images_restoration/mambairv2/barbara.png,720,576,25.384286,0.769985,0.322312,3.001953
bridge.png,bridge,mambairv2,./data/images_restoration/hr/bridge.png,./data/images_restoration/mambairv2/bridge.png,512,512,24.258023,0.66783,0.440899,2.736328
coastguard.png,coastguard,mambairv2,./data/images_restoration/hr/coastguard.png,./data/images_restoration/mambairv2/coastguard.png,352,288,24.732793,0.567382,0.456283,2.398438
comic.png,comic,mambairv2,./data/images_restoration/hr/comic.png,./data/images_restoration/mambairv2/comic.png,250,361,18.658306,0.628621,0.201392,3.894531
face.png,face,mambairv2,./data/images_restoration/hr/face.png,./data/images_restoration/mambairv2/face.png,276,276,30.110225,0.753428,0.309163,2.605469
flowers.png,flowers,mambairv2,./data/images_restoration/hr/flowers.png,./data/images_restoration/mambairv2/flowers.png,500,362,23.26618,0.764975,0.171065,3.835938
foreman.png,foreman,mambairv2,./data/images_restoration/hr/foreman.png,./data/images_restoration/mambairv2/foreman.png,352,288,29.752642,0.922597,0.133517,2.884766
lenna.png,lenna,mambairv2,./data/images_restoration/hr/lenna.png,./data/images_restoration/mambairv2/lenna.png,512,512,31.018108,0.814627,0.227493,3.121094
man.png,man,mambairv2,./data/images_restoration/hr/man.png,./data/images_restoration/mambairv2/man.png,512,512,26.363492,0.759732,0.314009,2.863281
monarch.png,monarch,mambairv2,./data/images_restoration/hr/monarch.png,./data/images_restoration/mambairv2/monarch.png,768,512,33.127561,0.948261,0.12461,4.898438
pepper.png,pepper,mambairv2,./data/images_restoration/hr/pepper.png,./data/images_restoration/mambairv2/pepper.png,512,512,30.51497,0.815083,0.197462,3.619141
ppt3.png,ppt3,mambairv2,./data/images_restoration/hr/ppt3.png,./data/images_restoration/mambairv2/ppt3.png,529,656,22.39056,0.922987,0.05353,4.28125
zebra.png,zebra,mambairv2,./data/images_restoration/hr/zebra.png,./data/images_restoration/mambairv2/zebra.png,586,391,18.710835,0.546673,0.290081,3.964844
